,Unnamed: 0,MSFT,MSFT.1,MSFT.2,MSFT.3,MSFT.4,MSFT.5,BBVA.MC,BBVA.MC.1,BBVA.MC.2,BBVA.MC.3,BBVA.MC.4,BBVA.MC.5,ELE.MC,ELE.MC.1,ELE.MC.2,ELE.MC.3,ELE.MC.4,ELE.MC.5,ORI,ORI.1,ORI.2,ORI.3,ORI.4,ORI.5,GRF.MC,GRF.MC.1,GRF.MC.2,GRF.MC.3,GRF.MC.4,GRF.MC.5,ANA.MC,ANA.MC.1,ANA.MC.2,ANA.MC.3,ANA.MC.4,ANA.MC.5
0,,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-08-25,304.29998779296875,304.5899963378906,300.4200134277344,302.010009765625,302.010009765625,20006100.0,5.513999938964844,5.7230000495910645,5.507999897003174,5.706999778747559,5.706999778747559,16087675,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-08-26,300.989990234375,302.42999267578125,298.95001220703125,299.0899963378906,299.0899963378906,17666100.0,5.684000015258789,5.709000110626221,5.603000164031982,5.61299991607666,5.61299991607666,10038040,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-08-27,298.989990234375,300.8699951171875,296.8299865722656,299.7200012207031,299.7200012207031,22597000.0,5.599999904632568,5.611999988555908,5.507999897003174,5.579999923706055,5.579999923706055,7953758,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-08-30,301.1199951171875,304.2200012207031,301.05999755859375,303.5899963378906,303.5899963378906,16348100.0,5.589000225067139,5.619999885559082,5.5269999504089355,5.534999847412109,5.534999847412109,5222088,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-08-31,304.4200134277344,304.5,301.5,301.8800048828125,301.8800048828125,26285300.0,5.534999847412109,5.574999809265137,5.4710001945495605,5.546999931335449,5.546999931335449,18690447,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-09-01,302.8699951171875,305.19000244140625,301.489990234375,301.8299865722656,301.8299865722656,18983800.0,5.624000072479248,5.688000202178955,5.6020002365112305,5.63700008392334,5.63700008392334,13229785,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-09-02,302.20001220703125,303.3599853515625,300.17999267578125,301.1499938964844,301.1499938964844,16285600.0,5.650000095367432,5.672999858856201,5.559999942779541,5.609000205993652,5.609000205993652,15794366,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-09-03,300.989990234375,302.6000061035156,300.260009765625,301.1400146484375,301.1400146484375,14747900.0,5.639999866485596,5.665999889373779,5.565000057220459,5.567999839782715,5.567999839782715,15224363,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-09-06,,,,,,,5.589000225067139,5.636000156402588,5.556000232696533,5.564000129699707,5.564000129699707,4133474,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-09-07,301.010009765625,301.0899963378906,298.20001220703125,300.17999267578125,300.17999267578125,17180400.0,5.564000129699707,5.627999782562256,5.556000232696533,5.5929999351501465,5.5929999351501465,9855859,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-09-08,299.7799987792969,300.6099853515625,297.4700012207031,300.2099914550781,300.2099914550781,15046800.0,5.559999942779541,5.6020002365112305,5.468999862670898,5.519999980926514,5.519999980926514,19836678,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-09-09,300.82000732421875,302.1400146484375,297.0,297.25,297.25,19927000.0,5.489999771118164,5.545000076293945,5.429999828338623,5.51200008392334,5.51200008392334,12711737,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-09-10,298.4200134277344,299.9200134277344,295.3800048828125,295.7099914550781,295.7099914550781,19619400.0,5.547999858856201,5.598999977111816,5.479000091552734,5.5,5.5,12278613,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-09-13,297.54998779296875,298.5400085449219,294.0799865722656,296.989990234375,296.989990234375,23652900.0,5.519000053405762,5.6020002365112305,5.48199987411499,5.5970001220703125,5.5970001220703125,14537552,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-09-14,299.55999755859375,301.3900146484375,298.1000061035156,299.7900085449219,299.7900085449219,21853400.0,5.6020002365112305,5.684999942779541,5.568999767303467,5.579999923706055,5.579999923706055,21584625,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-09-15,303.260009765625,305.32000732421875,301.82000732421875,304.82000732421875,304.82000732421875,28356300.0,5.583000183105469,5.668000221252441,5.551000118255615,5.6020002365112305,5.6020002365112305,21017089,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-09-16,303.760009765625,305.30999755859375,300.760009765625,305.2200012207031,305.2200012207031,19550800.0,5.630000114440918,5.756999969482422,5.618000030517578,5.723999977111816,5.723999977111816,22507768,,,,,,,,,,,,,,,,,,,,,,,,
19,2021-09-17,304.1700134277344,304.5,299.5299987792969,299.8699951171875,299.8699951171875,41309300.0,5.7789998054504395,5.859000205993652,5.665999889373779,5.671999931335449,5.671999931335449,228528294,,,,,,,,,,,,,,,,,,,,,,,,
20,2021-09-20,296.3299865722656,298.7200012207031,289.5199890136719,294.29998779296875,294.29998779296875,38278700.0,5.581999778747559,5.589000225067139,5.248000144958496,5.248000144958496,5.248000144958496,51902596,,,,,,,,,,,,,,,,,,,,,,,,
21,2021-09-21,295.69000244140625,297.5400085449219,294.07000732421875,294.79998779296875,294.79998779296875,22364100.0,5.318999767303467,5.36299991607666,5.25,5.281000137329102,5.281000137329102,31220683,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-09-22,296.7300109863281,300.2200012207031,294.510009765625,298.5799865722656,298.5799865722656,26626300.0,5.36899995803833,5.460000038146973,5.289999961853027,5.418000221252441,5.418000221252441,19993018,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-09-23,298.8500061035156,300.8999938964844,297.5299987792969,299.55999755859375,299.55999755859375,18604600.0,5.482999801635742,5.572000026702881,5.440999984741211,5.570000171661377,5.570000171661377,29085498,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-09-24,298.2300109863281,299.79998779296875,296.92999267578125,299.3500061035156,299.3500061035156,14994200.0,5.5289998054504395,5.690999984741211,5.489999771118164,5.660999774932861,5.660999774932861,27448351,,,,,,,,,,,,,,,,,,,,,,,,
0,,Open,High,Low,Close,Adj Close,Volume,,,,,,,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-08-25,304.29998779296875,304.5899963378906,300.4200134277344,302.010009765625,302.010009765625,20006100.0,,,,,,,20.8799991607666,20.8799991607666,20.510000228881836,20.510000228881836,20.510000228881836,658763,,,,,,,,,,,,,,,,,,
3,2021-08-26,300.989990234375,302.42999267578125,298.95001220703125,299.0899963378906,299.0899963378906,17666100.0,,,,,,,20.479999542236328,20.489999771118164,20.09000015258789,20.09000015258789,20.09000015258789,1280780,,,,,,,,,,,,,,,,,,
4,2021-08-27,298.989990234375,300.8699951171875,296.8299865722656,299.7200012207031,299.7200012207031,22597000.0,,,,,,,20.15999984741211,20.209999084472656,20.049999237060547,20.059999465942383,20.059999465942383,508897,,,,,,,,,,,,,,,,,,
5,2021-08-30,301.1199951171875,304.2200012207031,301.05999755859375,303.5899963378906,303.5899963378906,16348100.0,,,,,,,20.049999237060547,20.18000030517578,19.96500015258789,20.100000381469727,20.100000381469727,956849,,,,,,,,,,,,,,,,,,
6,2021-08-31,304.4200134277344,304.5,301.5,301.8800048828125,301.8800048828125,26285300.0,,,,,,,20.219999313354492,20.469999313354492,20.170000076293945,20.360000610351562,20.360000610351562,1629023,,,,,,,,,,,,,,,,,,
7,2021-09-01,302.8699951171875,305.19000244140625,301.489990234375,301.8299865722656,301.8299865722656,18983800.0,,,,,,,20.5,20.860000610351562,20.469999313354492,20.799999237060547,20.799999237060547,1281055,,,,,,,,,,,,,,,,,,
8,2021-09-02,302.20001220703125,303.3599853515625,300.17999267578125,301.1499938964844,301.1499938964844,16285600.0,,,,,,,20.770000457763672,20.979999542236328,20.729999542236328,20.850000381469727,20.850000381469727,1036204,,,,,,,,,,,,,,,,,,
9,2021-09-03,300.989990234375,302.6000061035156,300.260009765625,301.1400146484375,301.1400146484375,14747900.0,,,,,,,21.1299991607666,21.389999389648438,20.700000762939453,20.809999465942383,20.809999465942383,1760268,,,,,,,,,,,,,,,,,,
10,2021-09-06,,,,,,,,,,,,,20.790000915527344,20.940000534057617,20.600000381469727,20.739999771118164,20.739999771118164,549082,,,,,,,,,,,,,,,,,,
11,2021-09-07,301.010009765625,301.0899963378906,298.20001220703125,300.17999267578125,300.17999267578125,17180400.0,,,,,,,20.75,20.75,20.40999984741211,20.440000534057617,20.440000534057617,928747,,,,,,,,,,,,,,,,,,
12,2021-09-08,299.7799987792969,300.6099853515625,297.4700012207031,300.2099914550781,300.2099914550781,15046800.0,,,,,,,20.43000030517578,20.43000030517578,20.15999984741211,20.270000457763672,20.270000457763672,1028959,,,,,,,,,,,,,,,,,,
13,2021-09-09,300.82000732421875,302.1400146484375,297.0,297.25,297.25,19927000.0,,,,,,,20.43000030517578,20.43000030517578,20.209999084472656,20.31999969482422,20.31999969482422,926868,,,,,,,,,,,,,,,,,,
14,2021-09-10,298.4200134277344,299.9200134277344,295.3800048828125,295.7099914550781,295.7099914550781,19619400.0,,,,,,,20.40999984741211,20.420000076293945,20.09000015258789,20.139999389648438,20.139999389648438,979897,,,,,,,,,,,,,,,,,,
15,2021-09-13,297.54998779296875,298.5400085449219,294.0799865722656,296.989990234375,296.989990234375,23652900.0,,,,,,,20.139999389648438,20.59000015258789,20.139999389648438,20.469999313354492,20.469999313354492,944698,,,,,,,,,,,,,,,,,,
16,2021-09-14,299.55999755859375,301.3900146484375,298.1000061035156,299.7900085449219,299.7900085449219,21853400.0,,,,,,,20.049999237060547,20.149999618530273,19.360000610351562,19.40999984741211,19.40999984741211,2348156,,,,,,,,,,,,,,,,,,
17,2021-09-15,303.260009765625,305.32000732421875,301.82000732421875,304.82000732421875,304.82000732421875,28356300.0,,,,,,,19.315000534057617,19.34000015258789,18.075000762939453,18.170000076293945,18.170000076293945,3939922,,,,,,,,,,,,,,,,,,
18,2021-09-16,303.760009765625,305.30999755859375,300.760009765625,305.2200012207031,305.2200012207031,19550800.0,,,,,,,18.100000381469727,18.25,17.75,18.040000915527344,18.040000915527344,3463248,,,,,,,,,,,,,,,,,,
19,2021-09-17,304.1700134277344,304.5,299.5299987792969,299.8699951171875,299.8699951171875,41309300.0,,,,,,,18.15999984741211,18.489999771118164,18.155000686645508,18.219999313354492,18.219999313354492,3942145,,,,,,,,,,,,,,,,,,
20,2021-09-20,296.3299865722656,298.7200012207031,289.5199890136719,294.29998779296875,294.29998779296875,38278700.0,,,,,,,18.155000686645508,18.155000686645508,17.649999618530273,18.100000381469727,18.100000381469727,2466658,,,,,,,,,,,,,,,,,,
21,2021-09-21,295.69000244140625,297.5400085449219,294.07000732421875,294.79998779296875,294.79998779296875,22364100.0,,,,,,,18.530000686645508,18.649999618530273,18.200000762939453,18.329999923706055,18.329999923706055,2332578,,,,,,,,,,,,,,,,,,
22,2021-09-22,296.7300109863281,300.2200012207031,294.510009765625,298.5799865722656,298.5799865722656,26626300.0,,,,,,,18.479999542236328,18.479999542236328,18.135000228881836,18.170000076293945,18.170000076293945,1280792,,,,,,,,,,,,,,,,,,
23,2021-09-23,298.8500061035156,300.8999938964844,297.5299987792969,299.55999755859375,299.55999755859375,18604600.0,,,,,,,18.360000610351562,18.364999771118164,18.049999237060547,18.155000686645508,18.155000686645508,1412572,,,,,,,,,,,,,,,,,,
24,2021-09-24,298.2300109863281,299.79998779296875,296.92999267578125,299.3500061035156,299.3500061035156,14994200.0,,,,,,,18.100000381469727,18.325000762939453,18.030000686645508,18.19499969482422,18.19499969482422,1434759,,,,,,,,,,,,,,,,,,
0,,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-08-18,292.0400085449219,294.82000732421875,290.2699890136719,290.7300109863281,290.7300109863281,21813000,,,,,,,,,,,,,26.020000457763672,26.479999542236328,25.950000762939453,26.1200008392334,24.353910446166992,2106600,,,,,,,,,,,,
3,2021-08-19,288.69000244140625,297.4700012207031,288.6400146484375,296.7699890136719,296.7699890136719,29850500,,,,,,,,,,,,,26.010000228881836,26.350000381469727,25.899999618530273,26.06999969482422,24.30729103088379,1874500,,,,,,,,,,,,
4,2021-08-20,299.7200012207031,305.8399963378906,298.05999755859375,304.3599853515625,304.3599853515625,40796100,,,,,,,,,,,,,26.06999969482422,26.540000915527344,25.959999084472656,26.31999969482422,24.540388107299805,2194800,,,,,,,,,,,,
5,2021-08-23,303.25,305.3999938964844,301.8500061035156,304.6499938964844,304.6499938964844,22830200,,,,,,,,,,,,,26.520000457763672,26.559999465942383,26.350000381469727,26.450000762939453,24.661598205566406,1486900,,,,,,,,,,,,
6,2021-08-24,305.0199890136719,305.6499938964844,302.0,302.6199951171875,302.6199951171875,18175800,,,,,,,,,,,,,26.5,26.649999618530273,26.360000610351562,26.43000030517578,24.6429500579834,1384400,,,,,,,,,,,,
7,2021-08-25,304.29998779296875,304.5899963378906,300.4200134277344,302.010009765625,302.010009765625,20006100,,,,,,,,,,,,,26.450000762939453,26.68000030517578,26.3700008392334,26.43000030517578,24.6429500579834,1480700,,,,,,,,,,,,
8,2021-08-26,300.989990234375,302.42999267578125,298.95001220703125,299.0899963378906,299.0899963378906,17666100,,,,,,,,,,,,,26.489999771118164,26.600000381469727,26.18000030517578,26.190000534057617,24.419178009033203,1268000,,,,,,,,,,,,
9,2021-08-27,298.989990234375,300.8699951171875,296.8299865722656,299.7200012207031,299.7200012207031,22597000,,,,,,,,,,,,,26.190000534057617,26.389999389648438,26.1299991607666,26.299999237060547,24.521739959716797,2428800,,,,,,,,,,,,
